uid,eid,init_rating
1,1,4.00
1,2,2.00
1,3,5.00
1,4,1.00
1,5,5.00
1,6,3.40
1,7,2.09
1,8,5.00
1,9,5.00
1,10,1.80
2,1,3.09
2,2,3.09
2,3,1.45
2,4,5.00
2,5,1.00
2,6,3.69
2,7,3.41
2,8,1.83
2,9,1.95
2,10,3.47
3,1,3.00
3,2,5.00
3,3,3.67
3,4,1.00
3,5,3.67
3,6,2.60
3,7,4.15
3,8,3.67
3,9,3.67
3,10,4.20
4,1,4.45
4,2,2.27
4,3,1.45
4,4,5.00
4,5,1.00
4,6,4.78
4,7,2.82
4,8,2.82
4,9,2.16
4,10,2.82
5,1,1.60
5,2,1.00
5,3,4.00
5,4,1.00
5,5,5.00
5,6,1.00
5,7,1.00
5,8,3.18
5,9,2.92
5,10,1.00
6,1,5.00
6,2,1.00
6,3,2.60
6,4,5.00
6,5,3.93
6,6,4.36
6,7,1.51
6,8,4.42
6,9,1.80
6,10,1.80
7,1,2.14
7,2,1.00
7,3,3.29
7,4,5.00
7,5,4.24
7,6,2.26
7,7,1.68
7,8,2.51
7,9,2.26
7,10,1.80
8,1,5.00
8,2,1.00
8,3,3.53
8,4,3.74
8,5,4.58
8,6,4.24
8,7,1.44
8,8,4.96
8,9,2.89
8,10,1.55
9,1,2.50
9,2,4.00
9,3,4.50
9,4,1.00
9,5,3.67
9,6,2.60
9,7,3.73
9,8,3.36
9,9,5.00
9,10,3.40
10,1,2.21
10,2,5.00
10,3,2.37
10,4,2.53
10,5,1.00
10,6,2.93
10,7,4.69
10,8,1.70
10,9,3.45
10,10,4.51
11,1,2.27
11,2,5.00
11,3,3.36
11,4,1.00
11,5,3.67
11,6,1.87
11,7,4.04
11,8,3.12
11,9,3.04
11,10,4.20
12,1,4.54
12,2,1.00
12,3,4.29
12,4,4.80
12,5,3.45
12,6,5.00
12,7,2.22
12,8,4.06
12,9,5.00
12,10,1.76
13,1,4.60
13,2,1.21
13,3,3.75
13,4,1.00
13,5,4.10
13,6,3.71
13,7,1.31
13,8,5.00
13,9,3.71
13,10,1.17
14,1,2.00
14,2,1.50
14,3,1.00
14,4,5.00
14,5,1.00
14,6,2.60
14,7,2.09
14,8,1.00
14,9,1.00
14,10,2.20
15,1,2.00
15,2,1.50
15,3,1.00
15,4,5.00
15,5,1.00
15,6,2.60
15,7,2.09
15,8,1.00
15,9,1.00
15,10,2.20
16,1,1.60
16,2,4.00
16,3,4.00
16,4,1.00
16,5,5.00
16,6,1.00
16,7,3.18
16,8,3.18
16,9,2.92
16,10,3.40
17,1,3.59
17,2,1.00
17,3,3.82
17,4,5.00
17,5,3.43
17,6,4.06
17,7,2.09
17,8,3.29
17,9,4.06
17,10,1.80
18,1,4.54
18,2,4.14
18,3,2.77
18,4,1.00
18,5,4.40
18,6,3.04
18,7,3.00
18,8,5.00
18,9,1.79
18,10,3.51
19,1,2.14
19,2,1.00
19,3,2.71
19,4,5.00
19,5,3.98
19,6,2.10
19,7,1.54
19,8,2.37
19,9,1.50
19,10,1.80
20,1,4.50
20,2,3.13
20,3,1.00
20,4,5.00
20,5,1.00
20,6,4.60
20,7,3.27
20,8,2.82
20,9,1.40
20,10,3.50
21,1,1.50
21,2,1.00
21,3,5.00
21,4,1.00
21,5,5.00
21,6,1.40
21,7,1.36
21,8,3.18
21,9,4.60
21,10,1.00
22,1,4.00
22,2,2.00
22,3,5.00
22,4,1.00
22,5,5.00
22,6,3.40
22,7,2.09
22,8,5.00
22,9,5.00
22,10,1.80
23,1,1.15
23,2,1.56
23,3,2.94
23,4,5.00
23,5,2.25
23,6,2.25
23,7,2.50
23,8,1.00
23,9,3.13
23,10,2.25
24,1,3.00
24,2,4.40
24,3,1.00
24,4,5.00
24,5,1.00
24,6,3.40
24,7,4.20
24,8,1.73
24,9,1.16
24,10,4.52
25,1,4.22
25,2,2.07
25,3,4.09
25,4,1.00
25,5,4.76
25,6,3.25
25,7,1.88
25,8,5.00
25,9,3.68
25,10,1.86
