uid,eid,init_rating
1,17,3.40
1,18,1.40
1,19,5.00
1,20,1.70
1,21,4.40
1,22,2.80
1,23,1.45
1,24,4.85
1,25,4.80
1,26,1.00
1,1,3.50
1,2,3.90
1,3,4.70
1,4,3.90
1,5,3.90
1,6,2.15
1,7,3.25
1,8,4.05
1,9,3.70
1,10,4.95
1,11,2.90
1,12,3.85
1,13,2.45
1,14,3.45
1,15,4.55
1,16,4.15
2,17,2.21
2,18,2.21
2,19,1.81
2,20,2.61
2,21,1.00
2,22,3.21
2,23,4.12
2,24,1.30
2,25,1.60
2,26,3.42
2,1,3.24
2,2,3.97
2,3,2.46
2,4,5.00
2,5,3.31
2,6,3.49
2,7,3.24
2,8,2.99
2,9,4.22
2,10,3.31
2,11,4.47
2,12,3.87
2,13,4.09
2,14,4.19
2,15,4.14
2,16,2.86
3,17,1.92
3,18,3.03
3,19,3.03
3,20,1.00
3,21,2.29
3,22,1.92
3,23,4.05
3,24,2.57
3,25,2.66
3,26,3.40
3,1,3.52
3,2,4.56
3,3,3.45
3,4,4.31
3,5,3.68
3,6,4.40
3,7,4.17
3,8,3.94
3,9,3.59
3,10,3.87
3,11,3.91
3,12,4.10
3,13,4.68
3,14,3.84
3,15,5.00
3,16,3.82
4,17,2.65
4,18,1.18
4,19,1.73
4,20,2.65
4,21,1.00
4,22,3.56
4,23,2.92
4,24,1.82
4,25,1.37
4,26,2.28
4,1,2.85
4,2,3.61
4,3,1.87
4,4,5.00
4,5,2.74
4,6,2.90
4,7,3.03
4,8,2.90
4,9,3.56
4,10,3.47
4,11,4.43
4,12,3.79
4,13,3.81
4,14,3.90
4,15,3.95
4,16,2.78
5,17,1.58
5,18,1.39
5,19,3.13
5,20,1.00
5,21,2.36
5,22,1.78
5,23,2.84
5,24,2.65
5,25,2.55
5,26,2.16
5,1,3.16
5,2,4.44
5,3,3.28
5,4,4.08
5,5,3.23
5,6,4.08
5,7,3.55
5,8,4.08
5,9,3.72
5,10,3.81
5,11,3.67
5,12,3.57
5,13,4.56
5,14,3.30
5,15,5.00
5,16,3.67
6,17,4.65
6,18,1.00
6,19,3.34
6,20,4.36
6,21,3.92
6,22,4.51
6,23,1.80
6,24,4.58
6,25,1.58
6,26,1.88
6,1,2.26
6,2,2.79
6,3,2.72
6,4,3.47
6,5,2.24
6,6,2.30
6,7,3.58
