eid,user1,user2,user3,user4,user5,user6,user7,user8,user9,user10,user11,user12,user13,user14,user15,user16,user17,user18,user19,user20,user21,user22,user23,user24,user25
1,3.42,4.88,3.96,5.00,4.00,5.00,3.86,5.00,2.89,2.41,2.40,4.48,5.00,2.41,4.00,1.82,4.34,4.56,4.66,5.00,2.79,4.04,2.15,3.05,4.91
2,0.00,1.05,2.19,0.00,0.40,0.00,0.00,0.00,1.75,3.89,3.90,0.00,0.00,3.89,1.50,4.55,0.00,1.78,0.00,1.10,0.21,0.11,0.38,3.72,0.00
3,4.47,4.30,4.69,3.50,5.00,2.81,5.00,3.84,4.82,3.70,3.50,4.93,4.30,3.70,2.50,4.55,5.00,1.67,5.00,0.68,5.00,4.79,5.00,0.91,4.27
4,0.53,1.40,0.00,1.50,0.00,2.81,2.37,2.03,0.00,0.93,0.00,1.94,1.23,0.93,5.00,0.00,1.69,0.00,2.16,3.22,0.00,0.00,1.54,3.05,0.64
5,3.68,0.00,1.88,0.30,1.80,2.81,2.54,3.04,1.75,0.00,2.40,1.94,3.51,0.00,0.00,4.55,1.69,3.33,2.39,0.00,2.14,1.91,0.00,0.00,4.64
6,2.11,3.02,1.88,3.40,1.60,3.75,2.02,3.41,1.40,1.94,1.00,3.21,3.33,1.94,4.00,0.00,2.79,2.33,2.27,4.58,1.00,1.91,1.15,3.05,2.91
7,0.26,3.14,3.54,1.60,2.10,0.63,1.75,0.80,2.89,5.00,4.50,1.27,0.53,5.00,3.00,5.00,1.54,1.89,2.05,1.78,1.50,1.49,2.46,4.39,0.18
8,3.42,0.12,1.77,0.30,1.80,2.81,2.89,2.97,1.67,0.00,2.30,1.94,3.25,0.00,0.50,4.55,1.76,3.00,2.73,0.00,2.14,1.81,0.38,0.18,4.27
9,5.00,4.19,4.90,3.70,4.90,2.81,3.95,3.99,5.00,3.89,3.60,5.00,4.91,3.89,1.50,4.09,4.85,2.33,3.98,1.02,4.86,5.00,4.08,0.67,5.00
10,1.32,5.00,5.00,3.80,3.80,2.81,2.81,2.90,3.42,4.72,5.00,2.46,2.63,4.72,3.50,5.00,2.79,5.00,3.86,4.07,2.21,3.19,2.08,5.00,2.55
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
